Item,Condition,Context,Target
23,OBJ-Mismatch,"After he had finished cooking, a few friends helped",Rachel
24,SBJ-Match,"After she had spoken,",Rachel
24,SBJ-Mismatch,"After he had spoken,",Rachel
24,OBJ-Match,"After she had spoken, seven guards escorted",Rachel
24,OBJ-Mismatch,"After he had spoken, seven guards escorted",Rachel
25,SBJ-Match,"While she waited backstage,",Rachel
25,SBJ-Mismatch,"While he waited backstage,",Rachel
25,OBJ-Match,"While she waited backstage, several models congratulated",Rachel
25,OBJ-Mismatch,"While he waited backstage, several models congratulated",Rachel
26,SBJ-Match,"While she was mowing the lawn,",Rachel
26,SBJ-Mismatch,"While he was mowing the lawn,",Rachel
26,OBJ-Match,"While she was mowing the lawn, a number of neighbors waved at",Rachel
26,OBJ-Mismatch,"While he was mowing the lawn, a number of neighbors waved at",Rachel
27,SBJ-Match,"After she was elected,",Rachel
27,SBJ-Mismatch,"After he was elected,",Rachel
27,OBJ-Match,"After she was elected, many other politicians convinced",Rachel
27,OBJ-Mismatch,"After he was elected, many other politicians convinced",Rachel
28,SBJ-Match,"When she got to the construction site,",Rachel
28,SBJ-Mismatch,"When he got to the construction site,",Rachel
28,OBJ-Match,"When she got to the construction site, a lot of workers approached",Rachel
28,OBJ-Mismatch,"When he got to the construction site, a lot of workers approached",Rachel
